"Order Number ","Reason"," Cancelled By ","Note ","Cancelled Date","Order Date",""
"Lvs40269","INVENTORY","Randa","طلب العميلة بالالغاء","2024-12-02 08:35:39","2024-11-30T18:57:44+02:00",""
"Lvs40031","INVENTORY","Randa","طلب العميلة بالالغاء","2024-12-02 08:33:11","2024-11-30T13:17:05+02:00",""
"Lvs40519","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","2024-12-01 15:00:36","2024-11-30T23:12:37+02:00",""
"Lvs40488","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","2024-12-01 14:55:00","2024-11-30T22:53:26+02:00",""
"Lvs38516","ORDER_CONFIRMED_BY_MISTAKE","Nermin ","ملغي لعدم وجود القطعة","2024-12-01 14:36:03","2024-11-26T15:03:21+02:00",""
"Lvs39634","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2024-12-01 14:14:03","2024-11-29T15:45:30+02:00",""
"Lvs39453","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","2024-12-01 13:54:28","2024-11-29T05:17:20+02:00",""
"Lvs38511","INVENTORY","Nermin ","38511","2024-12-01 13:52:52","2024-11-26T14:50:21+02:00",""
"Lvs40418","CUSTOMER_REQUEST","Haimaa Gamal","مكرر","2024-12-01 13:44:48","2024-11-30T21:55:32+02:00",""
"Lvs38950","INVENTORY","Noor","نواقص هتشترى من الفرع","2024-12-01 13:28:01","2024-11-27T21:29:07+02:00",""
"Lvs40323","CUSTOMER_REQUEST","Samar Hamdy","مكرر","2024-12-01 13:23:48","2024-11-30T20:12:03+02:00",""
"Lvs40439","FAKE_ORDER","Noor","بتطلب اوردات برقم موبايل غلط و مش بترد ميل","2024-12-01 13:15:52","2024-11-30T22:12:50+02:00",""
"Lvs40310","CUSTOMER_REQUEST","Randa","طلب العميلة بالالغاء","2024-12-01 13:06:36","2024-11-30T20:02:59+02:00",""
"Lvs39126","INVENTORY","Noor","العميلة مسجلة رقم موبايل غلط  و مش بترد ميل و بتطلب اكتر من اوردر","2024-12-01 12:36:28","2024-11-28T15:00:50+02:00",""
"Lvs40436","CUSTOMER_REQUEST","Randa","طلب العميلة بالالغاء","2024-12-01 12:34:54","2024-11-30T22:08:16+02:00",""
"Lvs38832","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2024-12-01 12:34:34","2024-11-27T15:39:28+02:00",""
"Lvs39646","CUSTOMER_REQUEST","Randa","طلب العميلة بالالغاء","2024-12-01 12:20:00","2024-11-29T16:11:58+02:00",""
"Lvs40505","CUSTOMER_REQUEST","Randa","طلب العميلة بالالغاء","2024-12-01 12:17:04","2024-11-30T23:03:17+02:00",""
"Lvs40039","CUSTOMER_REQUEST","Haimaa Gamal","طلب العميلة","2024-12-01 12:12:19","2024-11-30T13:34:31+02:00",""
"Lvs39864","CUSTOMER_REQUEST","Haimaa Gamal","طلب العميلة","2024-12-01 12:11:46","2024-11-29T23:16:28+02:00",""
"Lvs40097","CUSTOMER_REQUEST","Haimaa Gamal","طلب العميلة","2024-12-01 12:11:08","2024-11-30T15:05:31+02:00",""
"Lvs40254","CUSTOMER_REQUEST","Haimaa Gamal","طلب العميلة","2024-12-01 12:10:14","2024-11-30T18:27:15+02:00",""
"Lvs40196","CUSTOMER_REQUEST","Haimaa Gamal","طلب العميلة","2024-12-01 12:08:52","2024-11-30T16:52:01+02:00",""
"Lvs39832","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-12-01 12:04:20","2024-11-29T22:15:54+02:00",""
"Lvs39259","ORDER_CONFIRMED_BY_MISTAKE","Nermin ","ملغي مش عايزة بدايل","2024-12-01 11:55:24","2024-11-28T21:14:11+02:00",""
"Lvs38955","INVENTORY","Nermin ","ملغي لعدم وجود رد","2024-12-01 09:12:24","2024-11-27T21:39:47+02:00",""
"Lvs39597","OTHER","Mostafa","0","2024-11-30 18:04:10","2024-11-29T14:50:50+02:00",""
"Lvs39468","CUSTOMER_REQUEST","Nermin ","ملغي برغبة العميلة","2024-11-30 15:24:39","2024-11-29T07:57:15+02:00",""
"Lvs39977","REPEATED_ORDER","Randa","طلب العميلة بالالغاء","2024-11-30 15:23:44","2024-11-30T10:53:03+02:00",""
"Lvs39934","INVENTORY","Nermin ","ملغي لعدم وجود رد","2024-11-30 14:49:43","2024-11-30T02:56:30+02:00",""
"Lvs39483","CUSTOMER_REQUEST","Haimaa Gamal","طلب العميلة","2024-11-30 14:47:38","2024-11-29T09:28:31+02:00",""
"Lvs39182","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-11-30 14:30:07","2024-11-28T17:57:06+02:00",""
"Lvs38254","CUSTOMER_REQUEST","Nermin ","ملغي لعدم وجود القطع ومش عايزة بدايل","2024-11-30 13:38:05","2024-11-25T16:36:44+02:00",""
"Lvs39609","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-30 13:35:17","2024-11-29T15:11:14+02:00",""
"Lvs38833","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2024-11-30 13:22:14","2024-11-27T15:45:58+02:00",""
"Lvs39559","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-11-30 13:20:39","2024-11-29T13:00:44+02:00",""
"Lvs39824","CUSTOMER_REQUEST","Haimaa Gamal","طلب العميلة","2024-11-30 12:47:19","2024-11-29T22:05:06+02:00",""
"Lvs39810","CUSTOMER_REQUEST","Haimaa Gamal","طلب العميلة","2024-11-30 12:46:15","2024-11-29T21:34:24+02:00",""
"Lvs39154","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-30 12:11:59","2024-11-28T16:21:25+02:00",""
"Lvs39501","CUSTOMER_REQUEST","Nermin ","ملغي لعدم وجود القطعة","2024-11-30 12:04:04","2024-11-29T10:41:41+02:00",""
"Lvs39428","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-11-30 11:59:10","2024-11-29T02:26:31+02:00",""
"Lvs39586","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2024-11-30 11:05:19","2024-11-29T14:15:31+02:00",""
"Lvs39022","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2024-11-30 10:37:07","2024-11-28T01:49:51+02:00",""
"Lvs38693","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-30 09:44:30","2024-11-27T02:29:39+02:00",""
"Lvs39293","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-30 09:17:56","2024-11-28T22:01:11+02:00",""
"Lvs39286","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-30 09:04:28","2024-11-28T21:56:34+02:00",""
"Lvs39387","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-30 08:41:12","2024-11-29T00:08:11+02:00",""
"Lvs39414","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-30 08:35:07","2024-11-29T01:34:09+02:00",""
"Lvs38506","INVENTORY","Nermin ","ملغي لعدم وجود القطعة  ومشعايزة بدايل","2024-11-30 08:19:27","2024-11-26T14:14:14+02:00",""
"Lvs37828","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-11-30 08:18:06","2024-11-23T22:00:14+02:00",""
"Lvs38709","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-30 07:53:37","2024-11-27T06:54:50+02:00",""
"Lvs38572","CUSTOMER_REQUEST","Fatma Elsayed","رغبة العميلة","2024-11-30 07:46:10","2024-11-26T17:57:47+02:00",""
"Lvs38187","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-29 14:59:23","2024-11-25T13:11:57+02:00",""
"Lvs37894","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-29 14:44:17","2024-11-24T04:31:41+02:00",""
"Lvs38941","INVENTORY","Noor","نواقص محتاجة نفس الاوردر","2024-11-29 14:10:02","2024-11-27T20:54:38+02:00",""
"Lvs38997","CUSTOMER_REQUEST","Noor","مكرر","2024-11-29 14:04:01","2024-11-28T00:04:59+02:00",""
"Lvs38975","INVENTORY","Noor","نواقص طالبه اوردر تانى","2024-11-29 14:03:02","2024-11-27T22:29:06+02:00",""
"Lvs38823","INVENTORY","Nermin ","ملغي نواقص مش عايزة بدايل","2024-11-29 14:00:00","2024-11-27T15:16:22+02:00",""
"Lvs38816","OTHER","Nermin ","ملغي لعدم وجود رد","2024-11-29 13:33:01","2024-11-27T15:03:16+02:00",""
"Lvs39125","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-29 13:06:23","2024-11-28T14:59:51+02:00",""
"Lvs38891","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-29 12:34:41","2024-11-27T18:22:22+02:00",""
"Lvs38783","CUSTOMER_REQUEST","Haimaa Gamal","طلب العميلة  من الانستجرام","2024-11-29 10:54:28","2024-11-27T13:07:29+02:00",""
"Lvs38967","INVENTORY","Noor","نواقص محتاجة نفس الاوردر","2024-11-29 10:39:06","2024-11-27T22:03:50+02:00",""
"Lvs38255","INVENTORY","Nermin ","ملغي نواقص مش عايزة بدايل","2024-11-29 09:27:42","2024-11-25T16:36:46+02:00",""
"Lvs38682","REPEATED_ORDER","Fatma","ملغي مكرر","2024-11-28 22:32:04","2024-11-27T00:45:51+02:00",""
"Lvs38680","REPEATED_ORDER","Fatma","ملغي مكرر","2024-11-28 22:30:12","2024-11-27T00:32:24+02:00",""
"Lvs38012","REPEATED_ORDER","Fatma","ملغي مكرر","2024-11-28 22:26:26","2024-11-24T18:50:13+02:00",""
"Lvs39119","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","2024-11-28 15:40:48","2024-11-28T14:34:42+02:00",""
"Lvs38751","REPEATED_ORDER","Fatma","ملغي مكرر","2024-11-28 15:40:32","2024-11-27T11:17:07+02:00",""
"Lvs38999","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","2024-11-28 15:35:39","2024-11-28T00:21:00+02:00",""
"Lvs37990","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","2024-11-28 15:19:51","2024-11-24T17:14:54+02:00",""
"Lvs38740","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-28 13:53:48","2024-11-27T10:31:28+02:00",""
"Lvs38243","INVENTORY","Nermin ","ملغي برغبة العميلة","2024-11-28 13:39:25","2024-11-25T15:57:02+02:00",""
"Lvs38307","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-28 13:31:34","2024-11-25T19:13:51+02:00",""
"Lvs35263","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-28 13:20:23","2024-11-11T12:33:18+02:00",""
"Lvs38829","REPEATED_ORDER","Fatma","ملغي مكرر","2024-11-28 13:17:55","2024-11-27T15:31:48+02:00",""
"Lvs38430","CUSTOMER_REQUEST","Nermin ","ملغي برغبة العميلة","2024-11-28 13:17:34","2024-11-26T05:30:34+02:00",""
"Lvs38746","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-11-28 12:55:15","2024-11-27T11:00:35+02:00",""
"Lvs38116","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-28 12:30:48","2024-11-25T07:29:03+02:00",""
"Lvs38977","CUSTOMER_REQUEST","Fatma Elsayed","رغبة العميلة","2024-11-28 12:17:12","2024-11-27T22:31:07+02:00",""
"Lvs38908","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","2024-11-28 11:33:42","2024-11-27T19:23:15+02:00",""
"Lvs38853","CUSTOMER_REQUEST","Nermin ","ملغي برغبة العميلة","2024-11-28 10:48:32","2024-11-27T16:24:16+02:00",""
"Lvs38431","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","2024-11-28 10:48:27","2024-11-26T05:39:07+02:00",""
"Lvs38924","CUSTOMER_REQUEST","Fatma Elsayed","رغبة العميلة","2024-11-28 10:28:41","2024-11-27T20:11:54+02:00",""
"Lvs38826","CUSTOMER_REQUEST","Fatma Elsayed","رغبة العميلة","2024-11-28 10:06:38","2024-11-27T15:27:09+02:00",""
"Lvs38204","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-28 10:01:45","2024-11-25T13:56:51+02:00",""
"Lvs38778","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2024-11-28 09:57:12","2024-11-27T12:55:39+02:00",""
"Lvs38764","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-28 09:50:38","2024-11-27T11:46:31+02:00",""
"Lvs38819","CUSTOMER_REQUEST","Haimaa Gamal","طلب العميلة","2024-11-28 08:49:07","2024-11-27T15:06:19+02:00",""
"Lvs37253","BROUGHT_FROM_STORE","Nermin ","ملغي هتشتري من الفرع","2024-11-28 08:33:32","2024-11-21T20:01:10+02:00",""
"Lvs38622","CUSTOMER_REQUEST","Haimaa Gamal","هتروح الفرع","2024-11-28 08:25:45","2024-11-26T21:01:18+02:00",""
"Lvs38771","INVENTORY","Nermin ","ملغي برغبة العميلة","2024-11-28 08:21:14","2024-11-27T12:03:26+02:00",""
"Lvs38522","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-28 08:20:23","2024-11-26T15:16:08+02:00",""
"Lvs38640","REPEATED_ORDER","Nermin ","عملت اوردر تاني","2024-11-28 07:56:47","2024-11-26T22:04:21+02:00",""
"Lvs38768","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-27 21:45:33","2024-11-27T11:55:07+02:00",""
"Lvs38327","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-27 20:55:10","2024-11-25T20:06:44+02:00",""
"Lvs38737","INVENTORY","Nermin ","ملغي نواقص مش عايزة بدايل","2024-11-27 18:34:06","2024-11-27T10:11:08+02:00",""
"Lvs38612","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","2024-11-27 15:29:30","2024-11-26T20:23:41+02:00",""
"Lvs38057","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل   اشترت من الفرع","2024-11-27 15:13:41","2024-11-24T22:29:46+02:00",""
"Lvs38761","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","2024-11-27 15:09:28","2024-11-27T11:39:14+02:00",""
"Lvs38559","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-27 15:05:48","2024-11-26T17:27:29+02:00",""
"Lvs38533","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-27 15:02:46","2024-11-26T15:51:40+02:00",""
"Lvs37955","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","2024-11-27 14:49:58","2024-11-24T14:25:48+02:00",""
"Lvs38097","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","2024-11-27 14:46:07","2024-11-25T02:30:03+02:00",""
"Lvs36229","REPEATED_ORDER","Fatma","ملغي مكرر","2024-11-27 14:45:50","2024-11-17T13:54:18+02:00",""
"Lvs38469","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","2024-11-27 14:45:34","2024-11-26T11:21:30+02:00",""
"Lvs37557","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","2024-11-27 14:44:58","2024-11-22T22:41:29+02:00",""
"Lvs38530","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","2024-11-27 14:43:10","2024-11-26T15:42:56+02:00",""
"Lvs37015","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","2024-11-27 14:42:41","2024-11-21T00:21:25+02:00",""
"Lvs38117","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","2024-11-27 14:42:12","2024-11-25T07:31:06+02:00",""
"Lvs37739","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","2024-11-27 14:41:49","2024-11-23T16:03:50+02:00",""
"Lvs38181","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","2024-11-27 14:41:20","2024-11-25T12:52:56+02:00",""
"Lvs38356","INVENTORY","Nermin ","ملغي لعدم وجود القطعة  ووفرنالها قطعة ومش عايزة تختار بدايل","2024-11-27 13:48:58","2024-11-25T21:45:44+02:00",""
"Lvs38361","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-27 13:38:24","2024-11-25T22:05:59+02:00",""
"Lvs38261","INVENTORY","Nermin ","ملغي لعدم وجود القطعة  ومش عايزة بدايل","2024-11-27 13:00:18","2024-11-25T16:58:06+02:00",""
"Lvs38508","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-27 12:01:29","2024-11-26T14:28:02+02:00",""
"Lvs38259","INVENTORY","Nermin ","ملغي لعدم وجود القطعة  ومش عايزة بدايل","2024-11-27 11:23:43","2024-11-25T16:48:28+02:00",""
"Lvs38704","CUSTOMER_REQUEST","Fatma Elsayed","رغبة العميلة","2024-11-27 10:03:52","2024-11-27T05:44:32+02:00",""
"Lvs38318","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-27 09:40:35","2024-11-25T19:44:21+02:00",""
"Lvs38549","BROUGHT_FROM_STORE","Nermin ","ملغي اشترت من الفرع","2024-11-27 09:18:47","2024-11-26T17:12:43+02:00",""
"Lvs38481","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-27 09:17:26","2024-11-26T12:36:16+02:00",""
"Lvs38485","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-27 09:03:50","2024-11-26T12:52:31+02:00",""
"Lvs38644","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","2024-11-27 09:01:08","2024-11-26T22:13:36+02:00",""
"Lvs38686","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","2024-11-27 08:50:06","2024-11-27T01:05:50+02:00",""
"Lvs38649","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","2024-11-27 08:46:50","2024-11-26T22:34:14+02:00",""
"Lvs38560","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","2024-11-27 08:45:19","2024-11-26T17:29:16+02:00",""
"Lvs38222","INVENTORY","Nermin ","ملغي لعدم وجود القطعة ومش عايزة بديل","2024-11-26 15:39:35","2024-11-25T15:15:43+02:00",""
"Lvs38495","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","2024-11-26 15:22:53","2024-11-26T13:39:21+02:00",""
"Lvs38040","INVENTORY","Nermin ","ملغي برغبة العميلة","2024-11-26 15:04:04","2024-11-24T21:24:54+02:00",""
"Lvs38403","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-26 14:52:15","2024-11-26T00:49:31+02:00",""
"Lvs37935","INVENTORY","Nermin ","ملغي مش عايزة تختار بدايل","2024-11-26 14:43:45","2024-11-24T12:54:32+02:00",""
"Lvs37967","OTHER","Nermin ","ملغي لعدم وجود رد","2024-11-26 14:33:52","2024-11-24T15:17:39+02:00",""
"Lvs38076","OTHER","Nermin ","ملغي لعدم وجود رد","2024-11-26 14:33:10","2024-11-25T00:05:40+02:00",""
"Lvs38401","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-26 13:53:01","2024-11-26T00:28:05+02:00",""
"Lvs37075","INVENTORY","Noor","لعدم رد العميلة على الموبايل و واتساب","2024-11-26 13:48:23","2024-11-21T07:56:05+02:00",""
"Lvs38394","CUSTOMER_REQUEST","Noor","مكرر","2024-11-26 13:34:54","2024-11-26T00:06:03+02:00",""
"Lvs38414","CUSTOMER_REQUEST","Noor","رغبة العميلة  هتشترى من الفرع","2024-11-26 13:31:37","2024-11-26T01:38:33+02:00",""
"Lvs38103","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-26 13:10:48","2024-11-25T04:51:00+02:00",""
"Lvs38409","CUSTOMER_REQUEST","Haimaa Gamal","طلب العميلة","2024-11-26 12:56:26","2024-11-26T00:56:58+02:00",""
"Lvs37876","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-26 12:02:08","2024-11-24T01:34:35+02:00",""
"Lvs38125","BROUGHT_FROM_STORE","Nermin ","ملغي اشترت من الفرع","2024-11-26 11:36:32","2024-11-25T08:43:10+02:00",""
"Lvs38217","CUSTOMER_REQUEST","Haimaa Gamal","طلب العميلة","2024-11-26 10:28:49","2024-11-25T14:52:47+02:00",""
"Lvs38302","CUSTOMER_REQUEST","Fatma Elsayed","رغبة العميلة","2024-11-26 09:16:10","2024-11-25T18:57:50+02:00",""
"Lvs38392","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","2024-11-26 08:59:36","2024-11-26T00:03:12+02:00",""
"Lvs38404","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","2024-11-26 08:57:44","2024-11-26T00:50:00+02:00",""
"Lvs38278","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","2024-11-26 08:39:46","2024-11-25T17:44:32+02:00",""
"Lvs34223","REPEATED_ORDER","Fatma","ملغي مكرر","2024-11-25 16:03:14","2024-11-07T15:29:47+02:00",""
"Lvs33105","INVENTORY","Randa","طلب العميلة بالالغاء","2024-11-25 15:40:43","2024-11-02T12:22:16+02:00",""
"Lvs36513","REPEATED_ORDER","Fatma","ملغي  مكرر","2024-11-25 15:05:06","2024-11-18T19:38:23+02:00",""
"Lvs35395","REPEATED_ORDER","Fatma","ملغي مكرر","2024-11-25 15:02:33","2024-11-12T06:15:04+02:00",""
"Lvs34830","REPEATED_ORDER","Fatma","ملغي مكرر","2024-11-25 14:59:30","2024-11-09T17:59:31+02:00",""
"Lvs34668","REPEATED_ORDER","Fatma","ملغي مكرر","2024-11-25 14:58:08","2024-11-08T22:04:47+02:00",""
"Lvs34433","REPEATED_ORDER","Fatma","ملغي مكرر","2024-11-25 14:52:31","2024-11-08T00:53:30+02:00",""
"Lvs34267","REPEATED_ORDER","Fatma","اوردر ملغي","2024-11-25 14:46:36","2024-11-07T18:17:00+02:00",""
"Lvs34194","REPEATED_ORDER","Fatma","ملغي مكرر","2024-11-25 13:41:40","2024-11-07T13:32:13+02:00",""
"Lvs34185","REPEATED_ORDER","Fatma","ملغي مكرر","2024-11-25 13:37:09","2024-11-07T12:54:16+02:00",""
"Lvs34090","REPEATED_ORDER","Fatma","ملغي مكرر \"",2024-11-25 13:35:57""","2024-11-07T07:16:02+02:00","",""
